273,Trindade +ACY- Martim Vaz Is.
90,Trinidad +ACY- Tobago
274,Tristan da Cunha +ACY- Gough Is.
276,Tromelin I.
474,Tunisia
390,Turkey
280,Turkmenistan
89,Turks +ACY- Caicos Is.
282,Tuvalu
283,UK Sov. Base Areas on Cyprus
285,US Virgin Is.
291,USA
286,Uganda
288,Ukraine
391,United Arab Emirates
289,United Nations HQ
144,Uruguay
292,Uzbekistan
158,Vanuatu
295,Vatican City
148,Venezuela
293,Vietnam
297,Wake I.
294,Wales
298,Wallis +ACY- Futuna Is.
299,West Malaysia
301,Western Kiribati
302,Western Sahara
303,Willis I.
492,Yemen
482,Zambia
452,Zimbabwe
2,Abu Ail Is.
8,Aldabra
19,Bajo Nuevo
23,Blenheim Reef
85,+ACI-Bonaire, Curacao+ACI-
25,British North Borneo
26,British Somaliland
28,Canal Zone
30,Celebe +ACY- Molucca Is.
39,Comoro Is.
218,Czechoslovakia
42,+ACI-Damao, Diu+ACI-
44,Desroches
55,Farquhar
57,French Equatorial Africa
67,French India
58,French Indo+AC0-China
59,French West Africa
229,German Democratic Republic
81,Germany
93,Geyser Reef
101,Goa
102,+ACI-Gold Coast, Togoland+ACI-
113,Ifni
115,Italian Somaliland
119,Java
127,Kamaran Is.
128,Karelo+AC0-Finnish Republic
134,Kingman Reef
139,Kuria Muria I.
68,Kuwait/Saudi Arabia Neutral Zone
155,Malaya
151,Malyj Vysotskij I.
164,Manchuria
178,Minerva Reef
183,Netherlands Borneo
184,Netherlands New Guinea
186,+ACI-Newfoundland, Labrador+ACI-
193,Okinawa
194,Okino Tori+AC0-shima
196,Palestine (deleted)
198,Papua Territory
493,Penguin Is.
243,People's Dem. Rep. of Yemen
200,Portuguese Timor
208,Ruanda+AC0-Urundi
210,Saar
220,Sarawak
226,Saudi Arabia/Iraq Neutral Zone
228,Serrana Bank +ACY- Roncador Cay
231,Sikkim
244,Southern Sudan
255,+ACI-St Maarten,Saba,St Eustatius+ACI-
258,Sumatra
261,Swan I.
264,Tangier
267,Territory of New Guinea
268,Tibet
271,Trieste
488,Walvis Bay
154,Yemen Arab Republic
307,Zanzibar
248,African Italy
4,Agalega +ACY- St. Brandon
390,Asian Turkey
16,Auckland +ACY- Campbell Is.
508,Austral I.
22,Belau (W. Caroline Is.)
25,British N. Borneo
26,British Somali
345,Brunei
31,C. Kiribati
408,Central Africa
38,Cocos+AC0-Keeling Is.
412,Congo
412,Congo (Republic of)
503,Czech Rep.
42,Damao
243,Dem Rep of Yemen
414,Dem. Rep. of Congo
183,Dutch Borneo
48,E. Kiribati
511,East Timor
248,European Italy
390,European Turkey
55,Farquahar
57,French Eq. Africa
422,Gambia
229,German Democratic Rep
102,Gold Coast / Togolnd
117,ITU HQ Geneva
115,Italian Somali
428,Ivory Coast
124,Juan de Nova +ACY- Europa
312,Kampuchea
128,Karelo +AC0- Finn Rep
468,Kingdom of eSwatini
522,Kosovo
139,Kuria Muria Is.
142,Laccadive Is.
502,Macedonia
151,Malyj Vysotskij I
191,N. Cook Is.
186,Newfoundland / Lab
344,North Korea
166,Northern Mariana Is.
194,Okino Tori +AC0- Shima
196,Old Palestine
195,Pagalu I.
198,Papua Terr
493,Penguin Islands
199,Peter I I.
200,Portugese Timor
107,Republic of Guinea
453,Reunion
204,Revilla Gigedo
208,Ruanda +AC0- Urundi
234,S. Cook Is.
241,S. Shetland Is.
217,San Felix I.
226,Saudi / Iraq N.Z.
68,Saudi / Kuwait N.Z.
296,Serbia +ACY- Montenegro
228,Serrana Bank
504,Slovak Rep.
137,South Korea
246,Sov. Mil. Order of Malta
519,St. Eustatius +ACY- Saba
255,+ACI-St. Maarten, Saba+ACI-
255,+ACI-St. Maarten, Saba, St. Eust.+ACI-
253,St. Peter St. Paul Rocks
515,Swains Is.
261,Swan Is.
468,Swaziland
267,Terr New Guinea
274,Tristan da Cunha +ACY- Gough I.
274,Tristan de Cunha
390,Turkey (Europe)
283,UK Sov. Bases on Cyprus
289,United Nations HQ NY
295,Vatican
285,Virgin Is.
301,W. Kiribati
190,Western Samoa
296,Yugoslavia
414,Zaire
259,Bear I.
248,Italy in Africa
54,Karelia
296,Kosovo
279,Shetland Is.
248,Sicily
390,Turkey in Europe
206,Vienna Intl Ctr
